CLASIFICACION	PRODUCTO	Cantidad (g)	Calorias USDA	Proteina (g)	Grasa (g)	Carbohidrato (g)	Fibra (g)	Sodio (mg)	Calorias Proteina	Calorias Grasa	Calorias Carbohidratos	Total Calorias	Total Calorias Sin Fibra
LACTEOS - GRASAS	QUESO COTTAGE	 100,0 	103,0	11,6	4,2	4,6	0,0	350,0	46,4	38,0	18,4	102,8	102,8
LACTEOS - GRASAS	QUESO CREMA FINESSE	 100,0 	208,0	7,9	16,7	6,7	0,0	317,0	31,4	150,3	26,9	208,6	208,6
LACTEOS - GRASAS	QUESO FETA	 100,0 	273,0	19,7	19,1	5,6	0,0	1030,0	78,8	171,9	22,3	273,0	273,0
LACTEOS - GRASAS	QUESO GOUDA	 100,0 	356,0	24,9	27,4	2,2	0,0	819,0	99,6	246,6	8,9	355,1	355,1
LACTEOS - GRASAS	QUESO MOSARELLA FINESSE	 100,0 	141,0	31,7	0,0	3,5	1,8	743,0	126,8	0,0	14,0	140,8	137,2
LACTEOS - GRASAS	QUESO MOZARELLA ENTERO	 100,0 	299,0	22,2	22,1	2,4	0,0	486,0	88,8	198,9	9,6	297,3	297,3
LACTEOS - GRASAS	QUESO MOZARELLA TAJADO	 100,0 	299,0	22,2	22,1	2,4	0,0	486,0	88,8	198,9	9,6	297,3	297,3
LACTEOS - GRASAS	QUESO PARMESANO	 100,0 	392,0	35,8	25,0	3,2	0,0	1180,0	143,2	225,0	12,9	381,1	381,1
LACTEOS - GRASAS	QUESO RICOTTA	 100,0 	150,0	7,5	10,2	7,3	0,0	110,0	30,2	91,8	29,1	151,0	151,0
LACTEOS - GRASAS	QUESO TOFU NATURAL APETEI	 100,0 	167,0	16,7	6,7	3,3	0,0	500,0	66,8	60,3	13,2	140,3	140,3
LEGUMBRES - CARBOHIDRATOS	ARVEJA ENLATADA	 100,0 	71,0	4,3	1,0	11,8	4,1	231,0	17,3	8,6	47,2	73,1	64,9
LEGUMBRES - CARBOHIDRATOS	FRIJOL CABECITA NEGRA	 100,0 	333,0	23,8	1,2	59,5	9,5	12,0	95,2	10,7	238,0	343,9	324,9
LEGUMBRES - CARBOHIDRATOS	GARBANZO	 100,0 	383,0	21,3	6,3	60,4	0,0	9,0	85,2	56,4	241,6	383,2	383,2
LEGUMBRES - CARBOHIDRATOS	GARBANZO EN LATA	 100,0 	137,0	7,0	3,1	20,3	5,9	202,0	28,1	27,9	81,2	137,2	125,3
LEGUMBRES - CARBOHIDRATOS	LENTEJAS	 100,0 	360,0	23,6	1,9	62,2	0,0	2,4	94,4	17,3	248,8	360,5	360,5
PROTEINA - CERDO	CARNE DE CERDO - LOMO 	 100,0 	168,0	21,1	9,5	0,0	0,0	40,0	84,4	85,2	0,0	169,6	169,6
PROTEINA - CERDO	CARNE DE CERDO - LOMO FINO	 100,0 	119,0	21,6	3,9	0,0	0,0	41,0	86,4	35,1	0,0	121,5	121,5
PROTEINA - CERDO	CARNE DE CERDO - PULPA DE CERDO	 100,0 	168,0	21,1	9,5	0,0	0,0	40,0	84,4	85,2	0,0	169,6	169,6
PROTEINA - CERDO	TOCINETA	 100,0 	393,0	13,7	37,1	0,0	0,0	751,0	54,8	333,9	0,0	388,7	388,7
PROTEINA - HUEVO	HUEVO	 100,0 	143,0	12,6	9,5	0,7	0,0	142,0	50,4	85,6	2,9	138,9	138,9
PROTEINA - MARISCOS	CAMARON	 100,0 	71,0	15,6	0,8	0,5	0,0	475,0	62,4	7,2	1,9	71,5	71,5
PROTEINA - PAVO	CARNE DE PAVO - PECHUGA	 100,0 	114,0	23,7	1,5	0,1	0,0	113,0	94,8	13,3	0,6	108,7	108,7
PROTEINA - PESCADO	ROBALO	 100,0 	114,0	18,9	3,7	0,0	0,0	70,0	75,6	33,2	0,0	108,8	108,8
PROTEINA - PESCADO	SALMON AHUMADO	 100,0 	117,0	18,3	4,3	0,0	0,0	672,0	73,2	38,9	0,0	112,1	112,1
PROTEINA - PESCADO	SALMON FRESCO	 100,0 	197,0	20,3	13,1	0,0	0,0	49,0	81,2	117,9	0,0	199,1	199,1
PROTEINA - PESCADO	TILAPIA	 100,0 	96,0	20,1	1,7	0,0	0,0	52,0	80,4	15,3	0,0	95,7	95,7
PROTEINA - POLLO	CARNE DE POLLO - CONTRAMUSLO	 100,0 	120,0	19,2	4,2	0,0	0,0	96,0	76,8	38,0	0,0	114,8	114,8
PROTEINA - POLLO	CARNE DE POLLO - MUSLO	 100,0 	120,0	19,2	4,2	0,0	0,0	96,0	76,8	38,0	0,0	114,8	114,8
PROTEINA - POLLO	CARNE DE POLLO - PECHUGA	 100,0 	106,0	22,5	1,9	0,0	0,0	66,0	90,0	17,4	0,0	107,4	107,4
PROTEINA - RES	CARNE DE RES -  ATRAVESADO	 100,0 	164,0	20,1	9,4	0,0	0,0	51,0	80,4	84,6	0,0	165,0	165,0
PROTEINA - RES	CARNE DE RES - CAPON	 100,0 	185,0	18,2	12,8	0,0	0,0	62,0	72,8	115,2	0,0	188,0	188,0
PROTEINA - RES	CARNE DE RES - ESPALDILLA	 100,0 	165,0	20,3	9,3	0,0	0,0	80,0	81,2	83,6	0,0	164,8	164,8
PROTEINA - RES	CARNE DE RES - LOMO ANCHO	 100,0 	139,0	22,7	5,3	0,0	0,0	43,0	90,8	47,9	0,0	138,7	138,7
PROTEINA - RES	CARNE DE RES - LOMO FINO	 100,0 	168,0	27,7	6,4	0,0	0,0	54,0	110,8	57,2	0,0	168,0	168,0
PROTEINA - RES	CARNE DE RES - MOLIDA	 100,0 	121,0	22,0	3,0	0,0	0,0	66,0	88,0	27,0	0,0	115,0	115,0
SEMILLAS/FRUTOS SECOS - GRASAS	AJONJOLI	 100,0 	573,0	17,7	49,7	23,4	11,8	11,0	70,8	447,3	93,6	611,7	588,1
SEMILLAS/FRUTOS SECOS - GRASAS	ALMENDRA ENTERA	 100,0 	579,0	21,2	49,9	21,6	12,5	1,0	84,8	449,1	86,4	620,3	595,3
SEMILLAS/FRUTOS SECOS - GRASAS	ALMENDRA LAMINADA	 100,0 	579,0	21,2	49,9	21,6	12,5	1,0	84,8	449,1	86,4	620,3	595,3
SEMILLAS/FRUTOS SECOS - GRASAS	MANI TOSTADO (SIN CASCARA)	 100,0 	588,0	23,2	43,3	26,5	8,0	1,0	92,8	389,7	106,0	588,5	572,5
SEMILLAS/FRUTOS SECOS - GRASAS	SEMILLA DE MOSTAZA	 100,0 	508,0	26,1	36,2	28,1	12,2	13,0	104,4	325,8	112,4	542,6	518,2
SEMILLAS/FRUTOS SECOS - GRASAS	TAHINE	 100,0 	586,0	18,1	50,9	24,0	5,5	12,0	72,4	458,1	96,0	626,5	615,5
VEGETALES	ACELGA	 100,0 	19,0	1,8	0,2	3,7	1,6	213,0	7,2	1,8	15,0	24,0	20,8
VEGETALES	AJI TOPITO	 100,0 	40,0	2,0	0,2	9,5	1,5	7,0	8,0	1,8	37,8	47,6	44,6
VEGETALES	AJO	 100,0 	149,0	6,4	0,5	33,1	2,1	17,0	25,4	4,5	132,4	162,3	158,1
VEGETALES	ALCAPARRA	 100,0 	23,0	2,4	0,9	4,9	3,2	2350,0	9,4	7,7	19,6	36,7	30,3
VEGETALES	APIO	 100,0 	14,0	0,7	0,2	3,0	1,6	80,0	2,8	1,5	11,9	16,2	13,0
VEGETALES	BERENJENAS	 100,0 	26,0	0,9	0,1	5,4	2,4	0,0	3,4	1,1	21,6	26,1	21,3
VEGETALES	BROCOLI	 100,0 	39,0	2,6	0,3	6,3	2,4	36,0	10,3	3,1	25,1	38,4	33,6
VEGETALES	CEBOLLA BLANCA	 100,0 	36,0	0,9	0,1	7,7	1,2	2,0	3,6	1,2	30,7	35,5	33,1
VEGETALES	CEBOLLA PUERRO	 100,0 	61,0	1,5	0,3	14,2	1,8	20,0	6,0	2,7	56,8	65,5	61,9
VEGETALES	CEBOLLA ROJA	 100,0 	44,0	0,9	0,1	9,9	2,2	1,0	3,8	0,9	39,7	44,4	40,0
VEGETALES	CEBOLLIN CHINO	 100,0 	30,0	3,3	0,7	4,4	2,5	3,0	13,1	6,6	17,4	37,1	32,1
VEGETALES	CEBOLLIN GRUESO	 100,0 	32,0	1,8	0,2	7,3	2,6	16,0	7,3	1,7	29,4	38,4	33,2
VEGETALES	CHAMPIÑONES	 100,0 	31,0	2,9	0,4	4,1	1,7	6,0	11,6	3,3	16,3	31,2	27,8
VEGETALES	CILANTRO	 100,0 	23,0	2,1	0,5	3,7	2,8	46,0	8,5	4,7	14,7	27,9	22,3
VEGETALES	COGOLLO DE LECHUGAS	 100,0 	13,0	1,4	0,2	2,2	1,1	5,0	5,4	2,0	8,9	16,3	14,1
VEGETALES	COLIFLOR	 100,0 	28,0	1,6	0,2	4,7	1,9	20,0	6,6	2,2	18,9	27,6	23,8
VEGETALES	ESPINACA 	 100,0 	27,0	2,9	0,6	2,4	1,6	111,0	11,4	5,6	9,6	26,6	23,4
VEGETALES	JENGIBRE (RAIZ)	 100,0 	80,0	1,8	0,8	17,8	2,0	13,0	7,3	6,8	71,2	85,2	81,2
VEGETALES	LECHUGA CRESPA	 100,0 	15,0	1,4	0,2	2,9	1,3	28,0	5,4	1,4	11,5	18,3	15,7
VEGETALES	LECHUGA CRESPA MORADA	 100,0 	20,0	1,2	0,3	3,2	1,8	0,0	5,0	2,3	13,0	20,3	16,7
VEGETALES	PEPINO	 100,0 	16,0	0,6	0,2	3,0	0,0	2,0	2,5	1,6	11,8	15,9	15,9
VEGETALES	PEPINO EUROPEO	 100,0 	16,0	0,6	0,2	3,0	0,0	2,0	2,5	1,6	11,8	15,9	15,9
VEGETALES	PEREJIL 	 100,0 	36,0	3,0	0,8	6,3	3,3	56,0	11,9	7,1	25,3	44,3	37,7
VEGETALES	PIMENTON AMARILLO	 100,0 	31,0	0,8	0,1	6,6	1,1	2,4	3,3	1,1	26,4	30,8	28,6
VEGETALES	PIMENTON ROJO	 100,0 	31,0	0,9	0,1	6,7	1,2	2,4	3,6	1,2	26,6	31,4	29,0
VEGETALES	PIMENTON VERDE	 100,0 	23,0	0,7	0,1	4,8	0,9	2,5	2,9	1,0	19,1	23,0	21,2
VEGETALES	RABANO	 100,0 	16,0	0,7	0,1	3,4	1,6	39,0	2,7	0,9	13,6	17,2	14,0
VEGETALES	RAIZ CHINA	 100,0 	122,0	13,1	6,7	9,6	1,1	14,0	52,4	60,3	38,3	151,0	148,8
VEGETALES	REPOLLO BLANCO	 100,0 	25,0	1,3	0,1	5,8	2,5	18,0	5,1	0,9	23,2	29,2	24,2
VEGETALES	REPOLLO MORADO	 100,0 	31,0	1,4	0,2	7,4	2,1	27,0	5,7	1,4	29,5	36,6	32,4
VEGETALES	RUGULA	 100,0 	25,0	2,6	0,7	3,7	1,6	27,0	10,3	5,9	14,6	30,9	27,7
VEGETALES	TOMATE	 100,0 	18,0	0,9	0,2	3,9	1,2	5,0	3,5	1,8	15,6	20,9	18,5
VEGETALES	TOMATE CHERRY	 100,0 	20,0	0,8	0,3	4,0	1,2	4,0	3,3	2,8	16,2	22,2	19,8
VEGETALES	TOMATE UVALINO	 100,0 	31,0	0,8	0,6	5,5	2,1	6,0	3,3	5,7	22,0	31,0	26,8
VEGETALES	ZARAGOZA BLANCA	 100,0 	336	21,1	1,2	62,2	24,9	12	84,4	10,6	248,8	343,8	294
VEGETALES	ZUCHINNI AMARILLO	 100,0 	17,0	1,2	0,3	3,1	1,0	8,0	4,8	2,9	12,4	20,2	18,2
VEGETALES	ZUCHINNI VERDE	 100,0 	17,0	1,0	0,2	0,8	0,8	2,4	3,9	1,8	3,2	8,9	7,3
VEGETALES - CARBOHIDRATOS	HABICHUELA	 100,0 	40,0	2,0	0,3	7,4	3,0	0,0	7,9	2,5	29,6	40,0	34,0
VEGETALES - CARBOHIDRATOS	HABICHUELA LARGA	 100,0 	40,0	2,0	0,3	7,4	3,0	2,4	7,9	2,5	29,6	40,0	34,0
VEGETALES - CARBOHIDRATOS	REMOLACHA	 100,0 	41,0	1,7	0,3	8,8	3,1	112,0	6,8	2,7	35,2	44,6	38,4
VEGETALES - CARBOHIDRATOS	ZANAHORIA	 100,0 	48,0	0,9	0,4	10,3	3,1	87,0	3,8	3,2	41,2	48,1	41,9
VEGETALES - GRASAS	ACEITUNAS VERDES	 100,0 	145,0	1,0	15,3	3,8	3,3	1560,0	4,1	137,7	15,4	157,2	150,6
VEGETALES - GRASAS	AGUACATE	 100,0 	160,0	2,0	14,7	8,5	6,7	7,0	8,0	131,9	34,1	174,1	160,7
